ID	country
Denmark/DCGC-304431/2022	Denmark
Denmark/DCGC-299837/2021	Denmark
Denmark/DCGC-359549/2021	Denmark
Denmark/DCGC-298765/2021	Denmark
Denmark/DCGC-313019/2022	Denmark
England/PHEC-YYB5QHB/2022	England
England/ALDP-33E4B23/2022	England
England/PHEC-YYNEW5D/2022	England
England/NORW-3126979/2021	England
England/LSPA-34B66CE/2022	England
England/PHEC-YYBS6AD/2021	England
England/MILK-3319439/2022	England
England/LOND-1292077/2021	England
England/QEUH-32C4E5E/2022	England
England/NORW-314C263/2022	England
USA/ID-CDC-LC0504756/2022	USA
USA/DC-CDC-LC0453990/2021	USA
USA/CA-HLX-STM-5GZTN7FJC/2021	USA
USA/NY-CDC-ASC210561355/2021	USA
USA/IL-NM-18448/2022	USA
USA/CT-JAX-JAX-2152-127/2021	USA
USA/CA-FS25328359/2021	USA
USA/NY-CDC-FG-196239/2021	USA
USA/PA-CDC-QDX32932970/2022	USA
USA/NY-PRL-2022_0108_00A16/2022	USA
Philippines/PH-PGC-102463/2021	Philippines
Philippines/PH-PGC-103975/2022	Philippines
Philippines/PH-PGC-104353/2022	Philippines
Philippines/PH-RITM-989/2022	Philippines
Philippines/PH-PGC-103787/2021	Philippines
Philippines/PH-PGC-103786/2021	Philippines
Philippines/PH-PGC-103822/2021	Philippines
Philippines/PH-PGC-102458/2021	Philippines
Philippines/PH-PGC-103762/2022	Philippines
Philippines/PH-PGC-102609/2021	Philippines
