ID	year
Scotland/QEUH-3242B15/2022	2022
Scotland/QEUH-345D6C9/2022	2022
Scotland/SCOT-2695/2021	2021
Scotland/SCOT-2141/2021	2021
Scotland/SCOT-2163/2021	2021
India/MH-RFIP08067/2022	2022
India/WB-INSACOG-1930301675622/2021	2021
India/ML-CSIR-CID0190/2021	2021
India/MH-KasturbaMCGM-ICMR-INSACOG-WG2613/2022	2022
India/MH-RFIP07645/2022	2022
India/TN-CDFD-CO-91/2021	2021
India/MH-ICMR-NIV-INSACOG-GSEQ-8158/2021	2021
India/MH-KasturbaMCGM-ICMR-INSACOG-WG2586/2021	2021
India/DL-ILBS-WGS1051/2021	2021
India/WB-INSACOG-1930301677698/2021	2021
Belgium/MBLG-CTMAPF38159608/2021	2021
Belgium/MBLG-CTMAPF17200460/2022	2022
Belgium/MBLG-CTMAPF21925922/2021	2021
Belgium/MBLG-CTMAPF84728092/2022	2022
Belgium/ULB-IBC_CV8329214285/2021	2021
Belgium/UZA-UA-CV8325831110/2021	2021
Belgium/MBLG-CTMAPF20921667/2022	2022
Belgium/UZA-UA-CV2310754410/2021	2021
Belgium/ULG-23162/2021	2021
Belgium/MBLG-CTMAPF31789509/2021	2021
Switzerland/BL-ETHZ-35688352/2022	2022
Switzerland/VD-CHUV-GEN9614/2021	2021
Switzerland/SG-ETHZ-35447366/2021	2021
Switzerland/VS-ETHZ-35449210/2021	2021
Switzerland/VD-CHUV-GEN9424/2021	2021
Switzerland/GE-HUG-36888296/2022	2022
Switzerland/AG-ETHZ-35533112/2022	2022
Switzerland/GL-ETHZ-35097744/2021	2021
Switzerland/TI-ETHZ-35501171/2021	2021
Switzerland/TI-ETHZ-35505116/2021	2021
Netherlands/ZH-RIVM-83052/2021	2021
Netherlands/NH-RIVM-79859/2021	2021
Netherlands/LI-RIVM-86009/2022	2022
Netherlands/NH-AUMC-016066/2021	2021
Netherlands/NB-RIVM-78661/2021	2021
Netherlands/OV-RIVM-83492/2022	2022
Netherlands/LB-RIVM-75389/2021	2021
Netherlands/NB-MVD-CWGS2200398/2022	2022
Netherlands/ZH-RIVM-77271/2021	2021
Netherlands/ZH-RIVM-81902/2021	2021
Indonesia/JK-GS-GSILab-874291/2022	2022
Indonesia/JK-NIHRD-MI.22.09068/2022	2022
Indonesia/BT-NIHRD-MI_22_00303/2022	2022
Indonesia/JT-Labkes-27s/2022	2022
Indonesia/JI-GS-ITD-53380N/2022	2022
Indonesia/YO-GS-22_01568/2022	2022
Indonesia/JK-NIHRD-WGS_22_01048/2022	2022
Indonesia/KI-NIHRD-WGS.22.00158/2022	2022
Indonesia/JK-GS-WJHL-ITB-NIHRD-WGS267/2022	2022
Indonesia/NT-Labkes-43B/2022	2022
Mexico/CMX-INMEGEN-45-334/2021	2021
Mexico/CMX-INMEGEN-45-356/2021	2021
Mexico/CHH_IBT_IMSS_6065/2022	2022
Mexico/SON_IBT_IMSS_5496/2021	2021
Mexico/CMX-INMEGEN-56-31/2022	2022
Mexico/JAL-INMEGEN-47-180/2021	2021
Mexico/JAL_IBT_IMSS_5417/2021	2021
Mexico/CMX-INMEGEN-45-341/2021	2021
Mexico/CMX_IBT_IMSS_5285/2021	2021
Mexico/CMX_IBT_IMSS_6180/2022	2022
Italy/SIC-CQRC-3019312/2021	2021
Italy/ABR-IZSGC-319759/2021	2021
Italy/EMR_AUSLRomagna_C121-21-08/2021	2021
Italy/VEN-ULSS3GEN-7001983943_VE/2021	2021
Italy/ABR-IZSGC-2022TE949/2021	2021
Italy/LOM-ASSTMonza-619153-20211219083000/2021	2021
Italy/SIC_CQRC_3232395/2022	2022
Italy/ABR-IZSGC-319720/2021	2021
Italy/EMR-IZSLER-2021-426251-001-01/2021	2021
Italy/EMR-AUSLRomagna_C009-22-36/2022	2022
France/IDF-IPP53608/2021	2021
France/IDF-HMN-21122310510/2021	2021
France/IDF-CERBAHC-12978698/2021	2021
France/GES-HMN-22012170553/2022	2022
France/NOR-HMN-21122301080/2021	2021
France/HDF-CERBAHC-1240710/2021	2021
France/IDF-HMN-21122240228/2021	2021
France/NAQ-HCL021231419901/2021	2021
France/IDF-HMN-21122160365/2021	2021
France/ARA-HCL021231537001/2021	2021
Germany/BW-RKI-I-406914/2021	2021
Germany/BB-RKI-I-469297/2022	2022
